127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 304, 0.001288
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000831
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000221
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000208
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 304, 0.002237
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000509
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000175
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.001456
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000685
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000429
127.0.0.1, 2013-10-17 18:25:09, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000445
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/default/edit/QuizMe/views/quizzes/index.html, HTTP/1.1, 200, 0.038598
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000546
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000317
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001181
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000624
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001177
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000676
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000262
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001330
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000950
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002945
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002041
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002520
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000754
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001628
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001647
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000957
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000939
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000530
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.006772
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000524
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002634
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000304
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.004808
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000323
127.0.0.1, 2013-10-17 18:28:04, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003568
